"state, territory or area",population,margin of error,note
Navajo Nation,"172,875","2,223",2018 ACS 5-year estimate
Alabama,"4,903,185",0,2019 ACS 1-year estimate
Alaska,"731,545",0,2019 ACS 1-year estimate
Arizona,"7,278,717",0,2019 ACS 1-year estimate
Arkansas,"3,017,804",0,2019 ACS 1-year estimate
California,"39,512,223",0,2019 ACS 1-year estimate
Colorado,"5,758,736",0,2019 ACS 1-year estimate
Connecticut,"3,565,287",0,2019 ACS 1-year estimate
Delaware,"973,764",0,2019 ACS 1-year estimate
District of Columbia,"705,749",0,2019 ACS 1-year estimate
Florida,"21,477,737",0,2019 ACS 1-year estimate
Georgia,"10,617,423",0,2019 ACS 1-year estimate
Hawaii,"1,415,872",0,2019 ACS 1-year estimate
Idaho,"1,787,065",0,2019 ACS 1-year estimate
Illinois,"12,671,821",0,2019 ACS 1-year estimate
Indiana,"6,732,219",0,2019 ACS 1-year estimate
Iowa,"3,155,070",0,2019 ACS 1-year estimate
Kansas,"2,913,314",0,2019 ACS 1-year estimate
Kentucky,"4,467,673",0,2019 ACS 1-year estimate
Louisiana,"4,648,794",0,2019 ACS 1-year estimate
Maine,"1,344,212",0,2019 ACS 1-year estimate
Maryland,"6,045,680",0,2019 ACS 1-year estimate
Massachusetts,"6,892,503",0,2019 ACS 1-year estimate
Michigan,"9,986,857",0,2019 ACS 1-year estimate
Minnesota,"5,639,632",0,2019 ACS 1-year estimate
Mississippi,"2,976,149",0,2019 ACS 1-year estimate
Missouri,"6,137,428",0,2019 ACS 1-year estimate
Montana,"1,068,778",0,2019 ACS 1-year estimate
Nebraska,"1,934,408",0,2019 ACS 1-year estimate
Nevada,"3,080,156",0,2019 ACS 1-year estimate
New Hampshire,"1,359,711",0,2019 ACS 1-year estimate
New Jersey,"8,882,190",0,2019 ACS 1-year estimate
New Mexico,"2,096,829",0,2019 ACS 1-year estimate
New York,"19,453,561",0,2019 ACS 1-year estimate
North Carolina,"10,488,084",0,2019 ACS 1-year estimate
North Dakota,"762,062",0,2019 ACS 1-year estimate
Ohio,"11,689,100",0,2019 ACS 1-year estimate
Oklahoma,"3,956,971",0,2019 ACS 1-year estimate
Oregon,"4,217,737",0,2019 ACS 1-year estimate
Pennsylvania,"12,801,989",0,2019 ACS 1-year estimate
Rhode Island,"1,059,361",0,2019 ACS 1-year estimate
South Carolina,"5,148,714",0,2019 ACS 1-year estimate
South Dakota,"884,659",0,2019 ACS 1-year estimate
Tennessee,"6,829,174",0,2019 ACS 1-year estimate
Texas,"28,995,881",0,2019 ACS 1-year estimate
Utah,"3,205,958",0,2019 ACS 1-year estimate
Vermont,"623,989",0,2019 ACS 1-year estimate
Virginia,"8,535,519",0,2019 ACS 1-year estimate
Washington,"7,614,893",0,2019 ACS 1-year estimate
West Virginia,"1,792,147",0,2019 ACS 1-year estimate
Wisconsin,"5,822,434",0,2019 ACS 1-year estimate
Wyoming,"578,759",0,2019 ACS 1-year estimate
Puerto Rico,"3,193,694",0,2019 ACS 1-year estimate